City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Los Algarrobos,PA,8.5,-82.4333,90.01,46,40,11.5,scattered clouds
196,Karratha,AU,-20.7377,116.8463,81.55,36,22,11.54,few clouds
197,Katsuura,JP,35.1333,140.3,61.21,90,67,11.34,broken clouds
198,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,61,69,21.56,broken clouds
199,Nuevo Progreso,MX,23.1667,-97.95,82.54,54,26,3.0,scattered clouds
200,Tamandare,BR,-8.7597,-35.1047,83.34,67,69,9.95,broken clouds
201,Bukavu,CD,-2.5083,28.8608,62.17,94,81,2.17,broken clouds
202,Castro,BR,-24.7911,-50.0119,77.59,49,99,1.48,overcast clouds
203,Santa Cruz Cabralia,BR,-16.2781,-39.0247,86.23,66,0,14.97,clear sky
204,Vila Velha,BR,-20.3297,-40.2925,84.15,78,40,12.66,scattered clouds
205,Mandalgovi,MN,45.7625,106.2708,25.09,87,68,34.56,light snow
206,Kirakira,SB,-10.4544,161.9205,79.43,84,89,4.52,overcast clouds
207,Lakes Entrance,AU,-37.8811,147.981,60.6,87,45,9.62,scattered clouds
208,Alyangula,AU,-13.8483,136.4192,73.27,94,15,0.0,few clouds
209,Shangrao,CN,28.4532,117.9686,67.28,68,7,2.64,clear sky
210,Mao,ES,39.8885,4.2658,57.76,58,0,9.22,clear sky
211,Nouadhibou,MR,20.931,-17.0347,64.83,84,34,25.39,scattered clouds
212,Gimli,CA,50.6336,-96.9907,44.62,57,100,9.22,overcast clouds
213,Namatanai,PG,-3.6667,152.4333,79.47,79,76,5.99,broken clouds
214,Yarim,YE,14.298,44.3779,59.58,48,1,6.04,clear sky
215,Fare,PF,-16.7,-151.0167,81.75,76,3,17.27,light rain
216,Grindavik,IS,63.8424,-22.4338,40.95,75,75,23.02,broken clouds
217,Cedar City,US,37.6775,-113.0619,44.4,18,0,19.57,clear sky
218,Abnub,EG,27.2696,31.1511,89.82,14,11,11.01,few clouds
219,Ibara,JP,34.6,133.4667,58.51,68,100,1.57,overcast clouds
220,Pocone,BR,-16.2567,-56.6228,93.6,44,6,6.8,clear sky
221,Henties Bay,NA,-22.116,14.2845,64.13,71,0,7.49,clear sky
222,Esperance,AU,-33.8667,121.9,58.84,92,6,12.59,clear sky
223,Port Hardy,CA,50.6996,-127.4199,39.38,75,40,9.22,scattered clouds
224,Santo Angelo,BR,-28.2992,-54.2631,73.72,78,0,4.61,light rain
225,Galle,LK,6.0367,80.217,80.98,78,92,8.3,overcast clouds
226,Norman Wells,CA,65.282,-126.8329,8.64,72,40,9.22,scattered clouds
227,Valparaiso,CL,-33.0393,-71.6273,66.43,65,20,12.66,few clouds
228,Ketchikan,US,55.3422,-131.6461,39.67,65,0,11.5,clear sky
229,Saskylakh,RU,71.9167,114.0833,-17.95,100,18,3.0,few clouds
230,Vyazniki,RU,56.25,42.1667,43.9,96,100,0.96,overcast clouds
231,Bandarbeyla,SO,9.4942,50.8122,81.34,75,1,9.28,clear sky
232,Sergeyevka,KZ,53.88,67.4158,44.26,55,86,13.82,overcast clouds
233,Hovd,MN,48.0056,91.6419,28.42,36,9,4.79,clear sky
234,Pehowa,IN,29.9833,76.5833,85.26,10,0,7.18,clear sky
235,Risod,IN,19.9667,76.7833,91.09,18,65,11.41,broken clouds
236,Port Hawkesbury,CA,45.6169,-61.3485,43.81,99,100,8.05,mist
237,Kutum,SD,14.2,24.6667,84.69,10,4,9.06,clear sky
238,Kaina,NG,12.6374,8.5873,94.42,11,87,8.48,overcast clouds
239,Avera,US,33.194,-82.5271,68.56,33,0,7.49,clear sky
240,Road Town,VG,18.4167,-64.6167,84.24,65,40,8.05,scattered clouds
241,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,65,40,12.66,scattered clouds
242,Bellefontaine,US,40.3612,-83.7597,55.13,45,0,5.75,clear sky
243,Nakhon Phanom,TH,17.3333,104.4167,78.66,43,2,4.45,clear sky
244,Constitucion,CL,-35.3333,-72.4167,57.87,68,29,8.77,scattered clouds
245,Savalou,BJ,7.9281,1.9756,85.96,55,37,12.39,light rain
246,Jardim,BR,-21.4803,-56.1381,97.18,30,6,9.06,clear sky
247,Tuatapere,NZ,-46.1333,167.6833,44.38,90,3,6.58,clear sky
248,Barra Do Corda,BR,-5.5,-45.25,85.86,69,100,0.81,overcast clouds
249,Qazvin,IR,36.2797,50.0049,55.02,44,0,4.61,clear sky
250,Buala,SB,-8.145,159.5921,79.12,81,21,2.35,few clouds
251,Samana,DO,19.2056,-69.3369,86.22,66,40,6.91,scattered clouds
252,Kashi,CN,39.4547,75.9797,72.61,13,70,0.0,broken clouds
253,Dongning,CN,44.0622,131.1207,56.39,80,99,2.06,overcast clouds
254,Pandan,PH,14.0453,124.1694,79.09,89,100,19.13,moderate rain
255,Harper,LR,4.375,-7.7169,83.41,73,61,8.08,broken clouds
256,Jiaozuo,CN,35.2397,113.2331,71.55,46,0,3.02,clear sky
257,Areia Branca,BR,-4.9561,-37.1369,89.8,71,95,11.9,overcast clouds
258,Te Anau,NZ,-45.4167,167.7167,48.29,82,11,7.25,few clouds
259,Porto Novo,BJ,6.4965,2.6036,85.82,78,78,10.74,broken clouds
260,Hami,CN,42.8,93.45,53.13,15,90,17.69,overcast clouds
261,Klaksvik,FO,62.2266,-6.589,34.72,64,98,9.78,overcast clouds
262,Upernavik,GL,72.7868,-56.1549,6.46,76,73,7.7,broken clouds
263,Carupano,VE,10.6678,-63.2585,84.47,65,60,14.97,broken clouds
264,Griffith,US,41.5284,-87.4237,58.3,45,0,23.02,clear sky
